linear_time,hierarchical_time,hierarchical_recall,kdtree_time,kdtree_recall,rtree_time,rtree_recall,widths,dimensions,n,frac
0.010024166107177735,0.008589076995849609,1.0,0.008067560195922852,1.0,0.07020444869995117,0.9966061090037932,0.5,2,10000,0.5
0.007335090637207031,0.003702592849731445,1.0,0.00609292984008789,1.0,0.030480241775512694,0.98,0.25,2,10000,0.25
0.007155847549438476,0.0016736984252929688,1.0,0.005152082443237305,1.0,0.01565265655517578,0.928,0.125,2,10000,0.125
0.007258844375610351,0.0009675502777099609,1.0,0.008661842346191407,1.0,0.008011150360107421,0.919431279620853,0.0625,2,10000,0.0625
0.0071445941925048825,0.0004510402679443359,1.0,0.007947635650634766,1.0,0.0012774467468261719,0.2724358974358974,0.03125,2,10000,0.03125
0.007167959213256836,0.00022568702697753907,1.0,0.0038533687591552736,1.0,0.0022916316986083983,0.9166666666666666,0.015625,2,10000,0.015625
0.007227611541748047,0.0001472949981689453,1.0,0.0033660888671875,1.0,1.1014938354492188e-05,0.0,0.0078125,2,10000,0.0078125
0.00717005729675293,0.00024380683898925782,1.0,0.005782794952392578,1.0,0.002454328536987305,1.0,0.00390625,2,10000,0.00390625
0.007267570495605469,8.921623229980468e-05,1.0,0.0033797264099121095,1.0,1.2922286987304688e-05,0.0,0.001953125,2,10000,0.001953125
0.009023284912109375,0.007893800735473633,0.9991988784298017,0.130645227432251,1.0006008411776488,0.17436914443969725,0.9351091528139395,0.5,4,10000,0.5
0.007744216918945312,0.0061037540435791016,0.998000799680128,0.11902432441711426,1.0,0.11311864852905273,0.8560575769692124,0.25,4,10000,0.25
0.007249259948730468,0.0018494606018066406,1.0,0.12501106262207032,1.0,0.05086894035339355,0.7349879903923139,0.125,4,10000,0.125
0.009304952621459962,0.001083517074584961,1.0,0.08024702072143555,1.0,0.029568052291870116,0.6176,0.0625,4,10000,0.0625
0.00803370475769043,0.0009506702423095703,1.0,0.056563711166381835,1.0,0.014804792404174805,0.657051282051282,0.03125,4,10000,0.03125
0.00744333267211914,0.00036487579345703127,1.0,0.09220881462097168,1.0,0.0026535987854003906,0.21153846153846154,0.015625,4,10000,0.015625
0.007193422317504883,0.00019483566284179689,1.0,0.10447802543640136,1.0,0.0013331890106201172,0.1282051282051282,0.0078125,4,10000,0.0078125
0.007922506332397461,0.00015044212341308594,1.0,0.08923592567443847,1.0,0.0007590293884277344,0.02564102564102564,0.00390625,4,10000,0.00390625
0.009194135665893555,0.0001445770263671875,1.0,0.16510672569274903,1.0,0.0007047653198242188,0.21052631578947367,0.001953125,4,10000,0.001953125
0.007276725769042969,0.008785867691040039,1.0,3.2792012214660646,1.0,2.476657581329346,0.9837967593518704,0.5,8,10000,0.5
0.007625865936279297,0.006858253479003906,1.0,3.1454638481140136,1.0,2.3388853073120117,0.9652,0.25,8,10000,0.25
0.007950067520141602,0.003679656982421875,1.0,2.277232313156128,1.0,1.4842916488647462,0.9254807692307693,0.125,8,10000,0.125
0.007139396667480469,0.0019240379333496094,1.0,3.1675462245941164,1.0,0.6358673095703125,0.8060897435897436,0.0625,8,10000,0.0625
0.007362461090087891,0.0007464408874511719,1.0,3.258533477783203,1.0,0.3555086612701416,0.6955128205128205,0.03125,8,10000,0.03125
0.00814990997314453,0.0004475116729736328,1.0,3.2950258255004883,1.0,0.1351309299468994,0.6282051282051282,0.015625,8,10000,0.015625
0.007314205169677734,0.0002796649932861328,1.0,3.244165134429932,1.0,0.05515275001525879,0.3974358974358974,0.0078125,8,10000,0.0078125
0.006970071792602539,0.00023140907287597657,1.0,3.0280126094818116,1.0,0.02574019432067871,0.1282051282051282,0.00390625,8,10000,0.00390625
0.007065629959106446,0.00020418167114257812,1.0,2.8051615238189695,1.0,0.0015552043914794922,0.0,0.001953125,8,10000,0.001953125
