our_time,linear_time,our_recall,n_points,dimension
0.0001811981201171875,0.0035486221313476562,1.0,5000,2
0.005131721496582031,0.0037245750427246094,1.0,5000,2
0.004729509353637695,0.0037145614624023438,1.0,5000,2
0.0002377033233642578,0.0036869049072265625,1.0,5000,2
0.002090930938720703,0.0036513805389404297,1.0,5000,2
0.005992412567138672,0.0037450790405273438,0.9974293059125964,5000,4
0.00439453125,0.0034728050231933594,1.0,5000,4
0.0009357929229736328,0.003468751907348633,1.0,5000,4
0.0003490447998046875,0.0034742355346679688,1.0,5000,4
0.000545501708984375,0.003498554229736328,1.0,5000,4
0.007071971893310547,0.0034914016723632812,1.0,5000,8
0.007689952850341797,0.0035538673400878906,1.0,5000,8
0.005589485168457031,0.003995656967163086,1.0,5000,8
0.004996061325073242,0.0036499500274658203,1.0,5000,8
0.004881858825683594,0.003549814224243164,1.0,5000,8
0.006516456604003906,0.003554821014404297,1.0,5000,16
0.008440017700195312,0.003576040267944336,1.0,5000,16
0.007299184799194336,0.0035085678100585938,1.0,5000,16
0.00856924057006836,0.0037610530853271484,1.0,5000,16
0.008376121520996094,0.0037369728088378906,1.0,5000,16
0.008672237396240234,0.0037577152252197266,1.0,5000,32
0.008268117904663086,0.003844738006591797,1.0,5000,32
0.00846552848815918,0.003799915313720703,1.0,5000,32
0.008488893508911133,0.003770589828491211,1.0,5000,32
0.008522272109985352,0.0037729740142822266,1.0,5000,32
