n,dim,degree,epsnet_size_ratio,output_size,random_recall,theta_recall,knn_recall,linear_recall,random_time,theta_time,knn_time,linear_time
2000,32,16,0.0625,0.125,0.9678714859437751,1.0,0.9598393574297188,1.0,0.0089111328125,0.008816719055175781,0.008035898208618164,0.007576704025268555
2000,32,16,0.0625,0.03125,0.26666666666666666,0.08333333333333333,0.11666666666666667,1.0,0.002303600311279297,0.0006260871887207031,0.0010919570922851562,0.00769805908203125
2000,32,16,0.0625,0.0078125,0.0,0.07142857142857142,0.0,1.0,0.0005016326904296875,0.0006222724914550781,0.0005280971527099609,0.007820844650268555
2000,32,16,0.03125,0.125,0.9758064516129032,1.0,0.9919354838709677,1.0,0.008423805236816406,0.008382320404052734,0.00672459602355957,0.0074732303619384766
2000,32,16,0.03125,0.03125,0.016666666666666666,0.016666666666666666,0.1,1.0,0.00041294097900390625,0.000335693359375,0.0007126331329345703,0.0076487064361572266
2000,32,16,0.03125,0.0078125,0.0,0.0,0.0,1.0,0.00026106834411621094,0.00024271011352539062,0.0002446174621582031,0.007555961608886719
2000,32,16,0.015625,0.125,0.9758064516129032,1.0,0.9919354838709677,1.0,0.008293390274047852,0.008429288864135742,0.006663799285888672,0.007607221603393555
2000,32,16,0.015625,0.03125,0.016666666666666666,0.016666666666666666,0.1,1.0,0.00028395652770996094,0.00020360946655273438,0.0005903244018554688,0.007608890533447266
2000,32,16,0.015625,0.0078125,0.0,0.0,0.0,1.0,0.0001442432403564453,0.00012493133544921875,0.00012493133544921875,0.0077211856842041016
2000,32,16,0.0078125,0.125,0.9758064516129032,1.0,0.9919354838709677,1.0,0.008238792419433594,0.008236408233642578,0.0064983367919921875,0.007585287094116211
2000,32,16,0.0078125,0.03125,0.0,0.016666666666666666,0.06666666666666667,1.0,8.463859558105469e-05,0.000141143798828125,0.00040602684020996094,0.007767915725708008
2000,32,16,0.0078125,0.0078125,0.0,0.0,0.0,1.0,8.249282836914062e-05,6.270408630371094e-05,6.151199340820312e-05,0.007714748382568359
2000,32,32,0.0625,0.125,1.0,1.0,1.0,1.0,0.01015782356262207,0.009458303451538086,0.008696556091308594,0.007770538330078125
2000,32,32,0.0625,0.03125,0.8852459016393442,1.0,0.9180327868852459,1.0,0.007314205169677734,0.008851289749145508,0.005295991897583008,0.007553815841674805
2000,32,32,0.0625,0.0078125,0.2,0.2,0.0,1.0,0.0013010501861572266,0.0006635189056396484,0.0005028247833251953,0.0077664852142333984
2000,32,32,0.03125,0.125,1.0,1.0,1.0,1.0,0.009413957595825195,0.009198427200317383,0.009008169174194336,0.008026599884033203
2000,32,32,0.03125,0.03125,0.0,1.0,0.9180327868852459,1.0,0.0002853870391845703,0.00997781753540039,0.0054814815521240234,0.008035659790039062
2000,32,32,0.03125,0.0078125,0.0,0.06666666666666667,0.0,1.0,0.000286102294921875,0.0004057884216308594,0.0002532005310058594,0.008113622665405273
2000,32,32,0.015625,0.125,1.0,1.0,1.0,1.0,0.009605169296264648,0.009213685989379883,0.009369850158691406,0.008303642272949219
2000,32,32,0.015625,0.03125,0.0,1.0,0.9180327868852459,1.0,0.0001595020294189453,0.008704662322998047,0.005218505859375,0.008489370346069336
2000,32,32,0.015625,0.0078125,0.0,0.06666666666666667,0.0,1.0,0.00015997886657714844,0.00027871131896972656,0.0001380443572998047,0.008284330368041992
2000,32,32,0.0078125,0.125,1.0,1.0,1.0,1.0,0.009301185607910156,0.009218931198120117,0.009041786193847656,0.008087158203125
2000,32,32,0.0078125,0.03125,0.0,1.0,0.9180327868852459,1.0,9.036064147949219e-05,0.008606910705566406,0.005551815032958984,0.008100032806396484
2000,32,32,0.0078125,0.0078125,0.0,0.06666666666666667,0.0,1.0,8.749961853027344e-05,0.0002295970916748047,6.628036499023438e-05,0.008235692977905273
2000,32,64,0.0625,0.125,1.0,1.0,1.0,1.0,0.01036524772644043,0.010091543197631836,0.010107278823852539,0.007989645004272461
2000,32,64,0.0625,0.03125,0.9836065573770492,1.0,1.0,1.0,0.009832143783569336,0.009394407272338867,0.009029388427734375,0.008293867111206055
2000,32,64,0.0625,0.0078125,0.0,1.0,0.0,1.0,0.0005581378936767578,0.009383440017700195,0.0005707740783691406,0.008481025695800781
2000,32,64,0.03125,0.125,1.0,1.0,1.0,1.0,0.010545492172241211,0.010008811950683594,0.011132001876831055,0.008605480194091797
2000,32,64,0.03125,0.03125,0.9836065573770492,0.0,1.0,1.0,0.009483098983764648,0.0002713203430175781,0.00867009162902832,0.008288145065307617
2000,32,64,0.03125,0.0078125,0.0,0.0,0.0,1.0,0.00028896331787109375,0.0002617835998535156,0.00025582313537597656,0.008238554000854492
2000,32,64,0.015625,0.125,1.0,1.0,1.0,1.0,0.010464191436767578,0.00982213020324707,0.0099029541015625,0.008129119873046875
2000,32,64,0.015625,0.03125,0.9508196721311475,0.0,0.0,1.0,0.009532928466796875,0.0001385211944580078,0.00013399124145507812,0.008056402206420898
2000,32,64,0.015625,0.0078125,0.0,0.0,0.0,1.0,0.00015044212341308594,0.00012803077697753906,0.0001308917999267578,0.008067607879638672
2000,32,64,0.0078125,0.125,1.0,1.0,1.0,1.0,0.009992599487304688,0.009765625,0.009786128997802734,0.00807332992553711
2000,32,64,0.0078125,0.03125,1.0,0.0,0.0,1.0,0.009266853332519531,7.534027099609375e-05,6.67572021484375e-05,0.008138895034790039
2000,32,64,0.0078125,0.0078125,0.0,0.0,0.0,1.0,8.7738037109375e-05,6.604194641113281e-05,6.341934204101562e-05,0.008149385452270508
